Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort	model_prediction	model_long_definition	bertscore_precision	bertscore_recall	bertscore_f1	comet22_score	cometkiwi_score	xcomet_score
Noordwijkse	substantief	1.0	106403	106404	vrouw die afkomstig is uit Noordwijk	vrouw uit Noordwijk	Lange definitie: vrouw die afkomstig is uit Noordwijk	vrouw die afkomstig is uit Noordwijk	0.9999997615814209	0.9999997615814209	0.9999997615814209	0.9895339012145996	0.8568828105926514	1.0
NT1'er	substantief	1.0	658234	658285	iemand die het Nederlands als moedertaal heeft en onderwijs volgt om die taal beter te leren beheersen	iemand die zijn moedertaal Nederlands leert	Een NT1-leerling is iemand die zijn moedertaal Nederlands leert.	Een NT1-leerling is iemand die zijn moedertaal Nederlands leert.	0.7256804704666138	0.7168704867362976	0.7212486267089844	0.654951274394989	0.6476720571517944	0.8402267694473267
NT2'er	substantief	1.0	658232	658233	iemand die het Nederlands niet als moedertaal heeft en Nederlands als tweede taal leert	iemand die Nederlands als tweede taal leert	Een NT2'er is iemand die Nederlands als tweede taal leert.	Een NT2'er is iemand die Nederlands als tweede taal leert.	0.7717623114585876	0.8141838312149048	0.7924057245254517	0.8289119005203247	0.8198971152305603	0.9648152589797974
nucleaire winter	substantief	1.0	899045	899046	periode die gepaard gaat met zeer barre, winterse weersomstandigheden en het afsterven van leven op aarde nadat door een nucleaire oorlog grote hoeveelheden stof in de atmosfeer zijn terechtgekomen die het zonlicht tegenhouden	barre weersomstandigheden door kernoorlog	Woord: nucleaire winter Korte definitie: 'barre weersomstandigheden door kernoorlog' Lange definitie: 'barre weersomstandigheden veroorzaakt door kernoorlog'	'barre weersomstandigheden veroorzaakt door kernoorlog'	0.738957941532135	0.6552584171295166	0.6945958137512207	0.42935696244239807	0.8516295552253723	0.7279043197631836
nugget	substantief	1.0	191466	191467	stukje vlees, vis of groente dat van een gepaneerd korstje is voorzien, meestal gefrituurd of in olie gebakken wordt en vaak met een aantal tegelijk als snack wordt gegeten	gefrituurde snack	Nugget is een gefrituurde snack.	Nugget is een gefrituurde snack.	0.7419519424438477	0.6288418769836426	0.6807303428649902	0.4853895604610443	0.6931543350219727	0.4803455173969269
nutshuisdier	substantief	1.0	224813	224814	huisdier dat gehouden wordt om de producten of diensten die het levert	huisdier voor het nut	dier dat gehouden wordt voor de producten die het oplevert, zoals melk, vlees, eieren, wol, bont	dier dat gehouden wordt voor de producten die het oplevert, zoals melk, vlees, eieren, wol, bont	0.754551887512207	0.8756575584411621	0.8106063604354858	0.6576034426689148	0.7222307920455933	0.9569025039672852
ober	substantief	1.0	107050	107051	mannelijke bediende die voor zijn beroep of als bijbaan drankjes, gerechten e.d. serveert in horecagelegenheden, zoals een café of restaurant	man die drank e.d. serveert	Lange definitie: bediende die voor zijn beroep of als bijbaan drankjes, gerechten e.d. serveert in horecagelegenheden, zoals een café of restaurant	bediende die voor zijn beroep of als bijbaan drankjes, gerechten e.d. serveert in horecagelegenheden, zoals een café of restaurant	0.9860717058181763	0.973807692527771	0.9799013733863831	0.9000937342643738	0.79771888256073	0.9936373233795166
obligatiehandelaar	substantief	1.0	107101	107102	iemand die voor zijn beroep handelt in obligaties	handelaar in obligaties	iemand die voor zijn beroep obligaties koopt en verkoopt op de beurs, voor eigen rekening en risico of in opdracht van beleggers	iemand die voor zijn beroep obligaties koopt en verkoopt op de beurs, voor eigen rekening en risico of in opdracht van beleggers	0.7168866395950317	0.854157567024231	0.7795250415802002	0.7505660653114319	0.8440033793449402	0.9547281265258789
oceanografie	substantief	1.0	107300	107301	wetenschap die zich bezighoudt met de studie van zeeën en oceanen vanuit natuurkundig, biologisch en geologisch perspectief	wetenschap die zeeën en oceanen onderzoekt	Lange definitie: wetenschap die zich toelegt op de studie van zeeën en oceanen	wetenschap die zich toelegt op de studie van zeeën en oceanen	0.9384540319442749	0.7941009402275085	0.8602638840675354	0.8834298253059387	0.8762375116348267	0.9912000298500061
ocelot	substantief	1.0	450673	662705	middelgrote katachtige met een bruine tot grijze of soms zelfs zwarte vacht met zwarte vlekken en strepen op zijn rug, die voorkomt in Texas, heel Midden-Amerika en grote delen van Zuid-Amerika	Amerikaanse katachtige	Lange definitie: 'ocelot' is een bijnaam voor de Amerikaanse katachtige.	'ocelot' is een bijnaam voor de Amerikaanse katachtige.	0.6494861841201782	0.5643283128738403	0.603920042514801	0.3604194223880768	0.48493608832359314	0.3106788694858551
ocelot	substantief	2.0	450673	662706	bont afkomstig van ocelotten	ocelotbont	'ocelotbont' is een bontsoort uit de familie van de schildpadden (Acinonyx jubatus).	'ocelotbont' is een bontsoort uit de familie van de schildpadden (Acinonyx jubatus).	0.6216234564781189	0.7278878688812256	0.6705718636512756	0.5714005827903748	0.5178275108337402	0.6444417238235474
ochtendjournaal	substantief	1.0	306743	306747	programma dat televisie en radio iedere ochtend uitzenden om nieuws te melden en kort te bespreken	nieuwsuitzending 's ochtends	Een ochtendjournaal is een nieuwsuitzending die's ochtends wordt uitgezonden.	Een ochtendjournaal is een nieuwsuitzending die's ochtends wordt uitgezonden.	0.6757713556289673	0.6464417576789856	0.66078120470047	0.7351150512695312	0.829211950302124	0.9669370651245117
ochtendzon	substantief	1.0	107365	107366	de zachte en warme straling van de zon 's ochtends, bij zonsopgang nog roze getint	de zon of haar straling 's ochtends	Lange definitie: de zachte en warme straling van de zon's morgens, bij zonsopgang nog roze getint	de zachte en warme straling van de zon's morgens, bij zonsopgang nog roze getint	0.9741924405097961	0.9673765897750854	0.9707725048065186	0.9252026081085205	0.676490068435669	0.9711933135986328
oculist	substantief	1.0	107403	107404	iemand die voor zijn beroep oogkwalen behandelde en brillen verkocht	voormalig oogheelkundige	Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten.	Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten. Een oogheelkundige is een arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten.	0.528428316116333	0.5954394936561584	0.5599361062049866	0.4927524924278259	0.697597861289978	0.29116302728652954
oculist	substantief	2.0	107403	107405	arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten	oogarts	arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten	arts die is gespecialiseerd in de diagnose, behandeling en het onderzoek van oogafwijkingen en oogziekten	1.0	1.0	1.0	0.9658274054527283	0.8119277954101562	0.9992395639419556
oefenduel	substantief	1.0	107434	107435	wedstrijd zonder direct belang waarbij de deelnemende teams niet zozeer spelen voor een goed eindresultaat maar meer om spelvormen te oefenen en de vorm van de spelers te testen met het oog op een belangrijke wedstrijd, een belangrijk toernooi of een op handen zijnde competitie	oefenwedstrijd	wedstrijd zonder direct belang waarbij de deelnemende teams niet zozeer spelen voor een goed eindresultaat maar meer om spelvormen te oefenen en de vorm van de spelers te testen met het oog op een belangrijke wedstrijd, een belangrijk toernooi of een op handen zijnde competitie	wedstrijd zonder direct belang waarbij de deelnemende teams niet zozeer spelen voor een goed eindresultaat maar meer om spelvormen te oefenen en de vorm van de spelers te testen met het oog op een belangrijke wedstrijd, een belangrijk toernooi of een op handen zijnde competitie	1.0	0.9999999403953552	0.9999999403953552	0.9294962286949158	0.7216196656227112	0.9648407697677612
oefeninterland	substantief	1.0	107443	107444	interland die niet voor een officieel kampioenschap meetelt, maar gespeeld wordt om te oefenen	interland om te oefenen	'interland om te oefenen' is een interland die wordt gespeeld in het kader van een oefeninterland.	'interland om te oefenen' is een interland die wordt gespeeld in het kader van een oefeninterland.	0.7232751250267029	0.7268746495246887	0.7250704169273376	0.5710775256156921	0.4437887966632843	0.8578943014144897
oer-Engels	adjectief	1.0	438061	880162	in hoge mate kenmerkend voor Engeland	zeer kenmerkend voor Engeland	in hoge mate kenmerkend voor Engeland	in hoge mate kenmerkend voor Engeland	0.9999997615814209	0.9999998211860657	0.9999998211860657	0.9926946759223938	0.853226900100708	1.0
off the record	bijwoord	1.0	481841	645115	met de bedoeling dat het meegedeelde geheimgehouden wordt en niet op enigerlei wijze gepubliceerd of anderszins officieel bekendgemaakt wordt	in vertrouwen	Lange definitie: 'off the record' betekent 'niet op het schrift'.	'off the record' betekent 'niet op het schrift'.	0.5912718176841736	0.5714761018753052	0.5812054872512817	0.3880404829978943	0.4707406461238861	0.33440619707107544
offgrid	adjectief	1.0	964437	964444	niet aangesloten op of afhankelijk van het elektriciteitsnet of andere nutsvoorzieningen	van het elektriciteitsnet af	Lange definitie: 'van het elektriciteitsnet af'.	'van het elektriciteitsnet af'.	0.7987337112426758	0.705008864402771	0.7489504814147949	0.5788058042526245	0.5079205632209778	0.9282903671264648
offsetdrukwerk	substantief	1.0	107691	107692	het afdrukken van een tekst en afbeeldingen met een offsetpers, beschouwd als een arbeidsproces van handelingen zoals ontwerpen, zetten, ininkten enz.	het drukken in offset	Lange definitie: drukwerk dat met behulp van offsettechniek wordt gedrukt	drukwerk dat met behulp van offsettechniek wordt gedrukt	0.7130637168884277	0.6472756862640381	0.6785789132118225	0.6045633554458618	0.796518862247467	0.5416584610939026
offsetdrukwerk	substantief	2.0	107691	107693	verzameling van in offset gedrukte producten gedrukt stuk dat is vervaardigd volgens het offsetprocedé	wat een offsetdrukpers voortbrengt in offset gedrukt stuk	Lange definitie: offsetdrukwerk is een gedrukt stuk dat is voortgebracht door een offsetdrukpers.	offsetdrukwerk is een gedrukt stuk dat is voortgebracht door een offsetdrukpers.	0.7605125904083252	0.7430121898651123	0.7516605854034424	0.7253222465515137	0.6588553190231323	0.8827194571495056
offsetdrukwerk	substantief	2.1	107691	199501	gedrukt stuk dat is vervaardigd volgens het offsetprocedé	in offset gedrukt stuk	Lange definitie: 'in offset gedrukt stuk'	'in offset gedrukt stuk'	0.7817912101745605	0.7199697494506836	0.749608039855957	0.7451472878456116	0.6209064722061157	0.9860540628433228
Oldebroekse	substantief	1.0	320541	544401	vrouw die afkomstig is uit Oldebroek	vrouw uit Oldebroek	Lange definitie: vrouw die afkomstig is uit Oldebroek	vrouw die afkomstig is uit Oldebroek	0.9999998211860657	0.9999997615814209	0.9999998211860657	0.9800724387168884	0.8456794023513794	1.0
olifantenpad	substantief	1.0	211265	211266	niet-officieel fietspad of wandelpad dat in de loop van de tijd ontstaat doordat fietsers of wandelaars een stuk, vaak een hoek, afsnijden van de route van het reguliere fietspad of wandelpad	sluipweggetje van fietsers of wandelaars	Lange definitie:'sluipweggetje van fietsers of wandelaars'	Lange definitie:'sluipweggetje van fietsers of wandelaars'	0.7220913171768188	0.6835565567016602	0.7022957801818848	0.5806228518486023	0.7305494546890259	0.6199996471405029
omfietswijn	substantief	1.0	297387	297388	wijn van een dermate goede prijs-kwaliteitverhouding dat het de moeite waard is om ervoor om te fietsen	wijn om voor om te fietsen	Lange definitie: 'wijn om voor om te fietsen'.	'wijn om voor om te fietsen'.	0.7755582332611084	0.673946738243103	0.7211909294128418	0.3379337787628174	0.3814011514186859	0.9071848392486572
Ommelander	substantief	1.0	108270	108271	iemand die afkomstig is uit de Ommelanden, de gebieden in de huidige provincie Groningen die buiten de stad Groningen liggen en die oorspronkelijk Fries waren	iemand uit de Ommelanden	Lange definitie: iemand die afkomstig is uit de gemeente Ommelanden	iemand die afkomstig is uit de gemeente Ommelanden	0.8697413206100464	0.7541328072547913	0.8078218102455139	0.6017314195632935	0.8494054079055786	0.9015523195266724
onbeleefderik	substantief	1.0	365891	503103	iemand die onbeleefd is	onbeleefd persoon	Lange definitie: iemand die zich onbeleefd gedraagt	iemand die zich onbeleefd gedraagt	0.8445863127708435	0.9102404713630676	0.8761852383613586	0.7503084540367126	0.8506482243537903	1.0
onbepaald hoofdtelwoord	verbinding	1.0	929916	929921	telwoord dat geen exact aantal, maar een relatieve hoeveelheid aangeeft, zoals alle , enkele , sommige , veel , wat en weinig	telwoord voor een relatieve hoeveelheid	Een onbepaald hoofdtelwoord is een telwoord dat een relatieve hoeveelheid aangeeft. Een onbepaald hoofdtelwoord kan worden gebruikt om de hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven.	Een onbepaald hoofdtelwoord is een telwoord dat een relatieve hoeveelheid aangeeft. Een onbepaald hoofdtelwoord kan worden gebruikt om de hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven. Een onbepaald hoofdtelwoord kan worden gebruikt om de relatieve hoeveelheid van iets aan te geven, maar het kan ook worden gebruikt om de relatieve hoeveelheid van iets aan te geven.	0.5647010803222656	0.6646365523338318	0.6106067895889282	0.46430671215057373	0.773931622505188	0.7564760446548462
onbewoonbaarheidsverklaring	substantief	1.0	417290	647358	verklaring door het bevoegd gezag, doorgaans het gemeentebestuur, dat een huis niet meer bewoond mag worden, omdat het in een slechte staat verkeert en/of niet veilig meer is	verklaring van onbewoonbaarheid	verklaring door het bevoegd gezag, doorgaans het gemeentebestuur, dat een huis niet meer bewoond mag worden, omdat het in een slechte staat verkeert en/of niet veilig meer is	verklaring door het bevoegd gezag, doorgaans het gemeentebestuur, dat een huis niet meer bewoond mag worden, omdat het in een slechte staat verkeert en/of niet veilig meer is	0.9999998807907104	0.9999999403953552	0.9999999403953552	0.9659168124198914	0.8134312629699707	1.0
onderhoudsvriendelijk	adjectief	1.0	109264	109265	met weinig inspanning te onderhouden	gemakkelijk in het onderhoud	Lange definitie: rekening houdend met en aangepast aan de behoeften van het onderhoud van iets	rekening houdend met en aangepast aan de behoeften van het onderhoud van iets	0.6402455568313599	0.6867337226867676	0.6626753211021423	0.5290375351905823	0.42172056436538696	0.2895180583000183
onderlijf	substantief	2.0	109330	109331	deel van de romp ter hoogte van de heupen en het zitvlak met inbegrip van de onderbuik en de schaamstreek	onderste deel van de romp	deel van de romp ter hoogte van de heupen en het zitvlak met inbegrip van de onderbuik en de schaamstreek	deel van de romp ter hoogte van de heupen en het zitvlak met inbegrip van de onderbuik en de schaamstreek	0.9999999403953552	1.0	0.9999999403953552	0.9491069316864014	0.49710407853126526	0.9040346145629883
onderlijfje	substantief	1.0	227227	227268	stuk ondergoed met of zonder mouwen dat wordt gedragen om het bovenlichaam warm te houden of transpiratie te absorberen	hemd of hemdje	vaak mouwloos hemd dat doorgaans onder een overhemd op het blote lijf wordt gedragen	vaak mouwloos hemd dat doorgaans onder een overhemd op het blote lijf wordt gedragen	0.7303234338760376	0.6699624061584473	0.6988419890403748	0.4600047171115875	0.42641547322273254	0.620408296585083
onderschikkend voegwoord	verbinding	1.0	930171	930175	voegwoord dat een hoofdzin en een bijzin verbindt en de bijzin inleidt, zoals aangezien , dat , hoewel , omdat en zodat .	type voegwoord	voegwoord dat onderscheidende, gelijkwaardige zinnen, zinsdelen of woorden verbindt, zoals en, maar en want.	voegwoord dat onderscheidende, gelijkwaardige zinnen, zinsdelen of woorden verbindt, zoals en, maar en want.	0.7721283435821533	0.7785685062408447	0.7753350138664246	0.6741657853126526	0.43329715728759766	0.5855399370193481
onderzoeker	substantief	1.0	109861	109862	iemand die zich voor zijn beroep bezighoudt met het onderzoeken van (wetenschappelijke) vraagstukken	iemand die onderzoek verricht	Een onderzoeker is iemand die onderzoek verricht naar iets of iemand.	Een onderzoeker is iemand die onderzoek verricht naar iets of iemand.	0.7391801476478577	0.6822007894515991	0.7095484137535095	0.7401883006095886	0.8156449198722839	0.9672966003417969
onderzoeksgebied	substantief	1.0	109903	947697	geografisch afgebakend gebied waarbinnen men gegevens verzamelt voor een onderzoek	gebied voor gegevensverzameling	Een onderzoeksgebied is een gebied waar wetenschappers gegevens verzamelen en analyseren.	Een onderzoeksgebied is een gebied waar wetenschappers gegevens verzamelen en analyseren.	0.7213022708892822	0.708449125289917	0.7148178815841675	0.8022925853729248	0.8011507987976074	1.0
onderzoeksgebied	substantief	2.0	109903	947723	geografisch afgebakend gebied dat men doorzoekt op de aanwezigheid van iets	gebied waarin men opspoort	Een onderzoeksgebied is een geografisch gebied waar onderzoek wordt verricht.	Een onderzoeksgebied is een geografisch gebied waar onderzoek wordt verricht.	0.7111660242080688	0.6952017545700073	0.7030932903289795	0.771878719329834	0.7061089277267456	0.9171645641326904
onderzoeksgebied	substantief	3.0	109903	109904	specifieke kennissector in een vakgebied die een van de specialisatiegebieden vormt en voorwerp van verder onderzoek is	kennissector in een vakgebied	Een onderzoeksgebied is een specifieke kennissector in een vakgebied. Een onderzoeksgebied kan een breed scala aan onderwerpen bevatten, zoals wetenschap, technologie, kunst, geschiedenis of literatuur. Een onderzoeksgebied kan ook een specifiek domein van expertise omvatten, zoals de psychologie, de economie of de sociologie. Een onderzoeksgebied is een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen. Het is ook een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen. Een onderzoeksgebied is een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen. Het is ook een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen.	Een onderzoeksgebied is een specifieke kennissector in een vakgebied. Een onderzoeksgebied kan een breed scala aan onderwerpen bevatten, zoals wetenschap, technologie, kunst, geschiedenis of literatuur. Een onderzoeksgebied kan ook een specifiek domein van expertise omvatten, zoals de psychologie, de economie of de sociologie. Een onderzoeksgebied is een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen. Het is ook een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen. Een onderzoeksgebied is een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen. Het is ook een belangrijk onderdeel van het onderzoeksproces, omdat het onderzoekers in staat stelt nieuwe inzichten en ideeën te ontwikkelen over een breed scala aan onderwerpen.	0.5913805961608887	0.712104320526123	0.6461519598960876	0.6905069351196289	0.8112662434577942	0.9243943691253662
onderzoeksgebied	substantief	4.0	109903	947695	geheel van de zaken die beschouwd, besproken of verricht worden in het kader van wetenschappelijk onderzoek	terrein van wetenschappelijk onderzoek	Een onderzoeksgebied is het gebied waar wetenschappelijk onderzoek plaatsvindt.	Een onderzoeksgebied is het gebied waar wetenschappelijk onderzoek plaatsvindt.	0.6771965622901917	0.6364042162895203	0.6561670303344727	0.6988893151283264	0.8047913312911987	0.836990475654602
oneliner	substantief	1.0	110098	110099	kernachtige, vaak geestige uitspraak die uit niet meer dan een zin bestaat, meestal uitgesproken door een bekend persoon, en die bedoeld is om te prikkelen	kernachtige geestige uitspraak van een zin	Een oneliner is een korte geestige uitspraak van een zin.	Een oneliner is een korte geestige uitspraak van een zin.	0.7678208351135254	0.6734961867332458	0.717572033405304	0.6936195492744446	0.805518627166748	0.8937393426895142
ongeloofwaardigheid	substantief	1.0	110290	110291	het niet waard zijn om geloofd te worden	het ongeloofwaardig zijn	Het woord 'ongeloofwaardigheid' heeft een lange definitie: 'het ongeloofwaardig zijn van iets of iemand'.	Het woord 'ongeloofwaardigheid' heeft een lange definitie: 'het ongeloofwaardig zijn van iets of iemand'.	0.6480542421340942	0.7066777944564819	0.6760976314544678	0.5752213001251221	0.7927795648574829	0.8310443162918091
ongeloofwaardigheid	substantief	2.0	110290	205558	weinig of niet overtuigende bewering, stelling, opvatting, houding e.d.	iets wat ongeloofwaardig is	Lange definitie: iets waarvan men niet gelooft dat het waar is.	iets waarvan men niet gelooft dat het waar is.	0.6614952087402344	0.627115786075592	0.6438469290733337	0.5570622086524963	0.8492166996002197	0.8392608165740967
ongewoonte	substantief	1.0	385985	653359	het niet aan iets gewend zijn	het niet aan iets gewoon zijn	Lange definitie: 'het niet aan iets gewoon zijn'.	'het niet aan iets gewoon zijn'.	0.8190059661865234	0.8586206436157227	0.8383455872535706	0.6653634905815125	0.47123774886131287	0.9139765501022339
onroerende zaak	substantief	1.0	980336	980342	zaak die vast is verbonden met een gedeelte van het aardoppervlak en niet zonder inspanningen of hoge kosten is te demonteren of te verplaatsen, zoals grond, een gebouw of een element in een gebouw dat blijvend geïnstalleerd is	met grond verbonden zaak	zaak die vast is verbonden met een gedeelte van het aardoppervlak en niet zonder inspanningen of hoge kosten is te demonteren of te verplaatsen, zoals grond, een gebouw of een element in een gebouw dat blijvend geïnstalleerd is	zaak die vast is verbonden met een gedeelte van het aardoppervlak en niet zonder inspanningen of hoge kosten is te demonteren of te verplaatsen, zoals grond, een gebouw of een element in een gebouw dat blijvend geïnstalleerd is	0.9999998807907104	0.9999998807907104	0.9999998807907104	0.9110937118530273	0.6065770983695984	0.9667805433273315
on-Spaans	adjectief	1.0	880781	880800	afwijkend van wat doorgaans, al dan niet terecht, als typerend voor Spanje of de Spanjaarden wordt gehouden	afwijkend van het typisch Spaanse	Lange definitie: 'afwijkend van het typisch Spaanse'	'afwijkend van het typisch Spaanse'	0.7884467244148254	0.6726878881454468	0.7259817719459534	0.7454457879066467	0.8403439521789551	0.9266483783721924
on-Surinaams	adjectief	1.0	880081	880083	afwijkend van wat doorgaans, al dan niet terecht, als typerend voor Suriname of de Surinamers wordt gehouden	afwijkend van het typisch Surinaamse	Lange definitie: 'afwijkend van het typisch Surinaamse'	'afwijkend van het typisch Surinaamse'	0.7452232837677002	0.6775223016738892	0.7097620368003845	0.78108149766922	0.8414612412452698	0.9268577098846436
ontaalkundig	adjectief	1.0	414420	948197	niet in overeenstemming met de (algemeen aanvaarde) regels of eisen van de taalkunde	niet in overeenstemming met de taalkunde	Het woord 'ontaalkundig' betekent 'niet in overeenstemming met de taalkunde'.	Het woord 'ontaalkundig' betekent 'niet in overeenstemming met de taalkunde'.	0.711835503578186	0.7153500318527222	0.7135884165763855	0.6853376030921936	0.6465662121772766	0.9579981565475464
ontbladeren	werkwoord	1.0	452700	887345	zijn bladen of bladeren doen verliezen	van bladeren ontdoen	Lange definitie: van bladeren ontdoen	van bladeren ontdoen	0.839340090751648	0.7971329689025879	0.817692220211029	0.5844480395317078	0.5384168028831482	0.7997110486030579
ontbladeren	werkwoord	2.0	452700	887350	zijn bladen of bladeren verliezen	zijn bladeren verliezen	Lange definitie: zijn bladeren verliezen	zijn bladeren verliezen	0.9542697668075562	0.9151321053504944	0.9342912435531616	0.9122903943061829	0.6569013595581055	0.9606082439422607
onthardingszout	substantief	1.0	370865	370866	zout dat men toevoegt aan water met een hoog gehalte aan calcium en magnesium om zich met deze stoffen te verbinden en zo kalkafzetting in wasmachines, vaatwassers e.d. te voorkomen of te beperken	zout dat water onthardt	Lange definitie: zout dat wordt gebruikt om water te ontharden	zout dat wordt gebruikt om water te ontharden	0.7894924879074097	0.6436700820922852	0.7091626524925232	0.5999117493629456	0.8232877850532532	0.7770067453384399
ontslapen	werkwoord	1.0	111511	111512	15 augustus benaming voor een Russisch-orthoxode kathedraal, gewijd aan Maria-Hemelvaart	sterven	Het woord 'ontslapen' heeft een korte definitie van 'overlijden'. De volledige definitie is:'sterven'.	Het woord 'ontslapen' heeft een korte definitie van 'overlijden'. De volledige definitie is:'sterven'.	0.6241109371185303	0.5771560072898865	0.5997157692909241	0.41015809774398804	0.546403706073761	0.21230930089950562
onvriendelijkheid	substantief	1.0	112277	112278	het geen rekening houden met of niet aangepast zijn aan de behoeften en gevoelens van anderen	het onvriendelijk zijn	Het woord 'onvriendelijkheid' heeft een langere definitie: 'het onvriendelijk zijn'.	Het woord 'onvriendelijkheid' heeft een langere definitie: 'het onvriendelijk zijn'.	0.6107789278030396	0.578302264213562	0.5940970778465271	0.4108034670352936	0.6857125163078308	0.5938386917114258
