Lemma	POS	MeaningNumber	LemmaID	MeaningID	DefinitionFull	DefinitionShort
medeplichtigheid	substantief	1.0	96414	96415	het betrokken zijn bij een misdaad of wanbedrijf als medeplichtige in juridische zin;  in algemeen taalgebruik ook: gemeenschappelijke schuldigheid aan een misdaad, wantoestand enz., veelal met de bijgedachte dat men niet de hoofddader of de belangrijkste veroorzaker is medeplichtigheid die ontstaat door opzettelijk behulpzaam te zijn bij het plegen van een misdrijf of opzettelijk gelegenheid, middelen of inlichtingen te verschaffen tot het plegen ervan medeplichtigheid die ontstaat wanneer iemand in strijd met een op hem rustende plicht opzettelijk nalaat te beletten dat een misdrijf wordt gepleegd;  medeplichtigheid door nalaten	betrokkenheid als medeplichtige
medium	substantief	A.2.0	96717	556019	middel om informatie over te brengen, soms bedoeld voor een breed publiek;  communicatiemiddel;  communicatiekanaal;  soms ook: massacommunicatiemiddel een medium van recente datum, meestal een digitaal medium communicatiekanaal om actualiteiten en andere informatie openbaar te maken voor een groot publiek (bv. krant, radio, televisie en nieuwswebsites);  communicatiemiddel voor de massacommunicatie van actualiteiten en andere informatie;  massamedium voor actuele informatie;  communicatiemiddel voor nieuws;  nieuwskanaal;  nieuwsmedium in de media komen;  in het nieuws komen;  een nieuwsitem zijn media die vrij zijn om te communiceren, omdat ze niet bij een staat of een regime horen en er dus geen beïnvloeding of censuur plaatsvindt;  vrije media media die vrij zijn om te communiceren, omdat ze niet bij een staat of een regime horen en er dus geen beïnvloeding of censuur plaatsvindt;  onafhankelijke media geheel van personen achter een communicatiemiddel;  collectief van journalisten of opiniemakers die via een bepaald medium (krant, radio, televisie, internet) berichten	communicatiemiddel nieuwsmedium collectief dat via een medium bericht
meebeleven	werkwoord	1.0	96739	96740	samen met een ander of anderen beleven;  samen met een ander of anderen getuige zijn van, deelgenoot zijn van, ondervinden;  samen met een ander of anderen meemaken in het bijzonder: op televisie of in de bioscoop samen met anderen zien en beleven met de nadruk op de lijfelijke aanwezigheid ook: samen met anderen bijwonen en beleven;  door te bezoeken met anderen samen beleven, ervaren, ondervinden	samen met een ander of anderen beleven met anderen op tv of in de bioscoop beleven met anderen bijwonen en beleven
meebeleven	werkwoord	1.2	96739	947741	met de nadruk op de lijfelijke aanwezigheid ook: samen met anderen bijwonen en beleven;  door te bezoeken met anderen samen beleven, ervaren, ondervinden	met anderen bijwonen en beleven
meeroken	werkwoord	2.0	96966	941599	samen met een ander of anderen roken;  meedoen met roken in pregnant gebruik ook: samen met een ander of anderen een sigaret met hasj of marihuana roken;  met een ander of anderen een joint roken;  met een ander of anderen een stikkie roken;  meedoen met het roken van een joint	met een ander of anderen roken met een ander of anderen een joint roken
meeroken	werkwoord	2.1	96966	941632	in pregnant gebruik ook: samen met een ander of anderen een sigaret met hasj of marihuana roken;  met een ander of anderen een stikkie roken;  meedoen met het roken van een joint	met een ander of anderen een joint roken
meerverkoop	substantief	1.0	97029	487670	verkoop van producten die groter is dan verwacht of begroot; grotere verkoop die nagestreefd wordt in vergelijking met een eerdere verkoop;  in beide toepassingen ook: cijfer, percentage e.d. dat aangeeft hoeveel groter de verkoop is in vergelijking met een eerdere gerealiseerde verkoop of een verwachte, begrote of nagestreefde verkoop;  meerverkoopcijfer	grotere verkoop
meester	substantief	9.0	97068	97077	man die anderen in dienst heeft als bediende, knecht, dienstbode;  vroeger ook: eigenaar van slaven aan twee verschillende dingen onderworpen zijn eigenaar van een huisdier	baas
meesteres	substantief	5.0	97165	559910	vrouw die anderen in dienst heeft als bediende, knecht, dienstbode;  vroeger ook: vrouw van een eigenaar van slaven;  eigenares van slaven;  bazin	bazin eigenares van een huisdier
meevoetballen	werkwoord	2.0	97275	947797	net als de tegenstander tijdens een voetbalwedstrijd actief aan het voetbalspel deelnemen;  gelijk opgaan met de tegenstander in een voetbalwedstrijd;  in het bijzonder ook: niet louter verdedigen, maar ook aanvallen	gelijk opgaan met de tegenstander
ménage à trois	substantief	1.0	905860	905863	huishouden dat gevormd wordt door drie personen die samen een seksuele relatie hebben;  ruimer ook: driehoeksverhouding waarbij de betrokkenen niet noodzakelijk samenwonen	driehoeksverhouding
menthol	substantief	2.0	98056	98058	mentholsigaret;  als collectivum ook: mentholsigaretten	mentholsigaret(ten)
menu	substantief	1.0	98083	98084	lijst van gerechten waaruit een maaltijd bestaat of van gerechten die in een restaurant te verkrijgen zijn;  als zaaknaam ook: kaart of papier waarop die lijst van gerechten geschreven of gedrukt staat;  menukaart;  spijskaart iets niet meer eten als gerecht aangeboden of gegeten worden tot het normale voedingspatroon behoren van;  gegeten worden door deel uitmaken van de planning of het programma;  op de lijst staan van dingen die gedaan zullen worden of aandacht zullen krijgen	lijst van gerechten
metser	substantief	1.0	98571	98572	metselaar: ook: het beroep van metselaar	metselaar
middelbaar onderwijs	verbinding	1.0	317026	936732	het gestructureerd aanleren van kennis, vaardigheden en attitudes aan leerlingen in de leeftijd van twaalf tot achttien jaar;  leerplichtig onderricht voor twaalf- tot achttienjarigen;  concreet ook: geheel van lessen en oefeningen waardoor twaalf- tot achttienjarige leerlingen hun kennis, vaardigheden en attitudes ontwikkelen	onderricht voor twaalf- tot achttienjarigen
mieter	substantief	1.0	99009	99010	sodemieter;  flikker;  donder iemand een pak slaag geven;  ook figuurlijk: iemand ernstig bekritiseren iemand een pak slaag geven een pak slaag krijgen;  figuurlijk ook: ernstig berispt worden	lichaam
mimosa	substantief	1.0	99670	99671	soort van acacia, vooral de  Acacia dealbata  en de  Acacia retinodes , die zich kenmerkt door zijn gele, bolvormige en pluimige bloemen met een sterke, aangename geur;  metonymisch ook: (afgesneden, bloeiende) takken of bloemen van deze plant kleur van mimosa aroma van mimosa	soort acacia
mineralogie	substantief	1.0	99848	99849	wetenschap die zich bezighoudt met de studie van mineralen, ruimer ook: wetenschap die zich bezighoudt met de studie van delfstoffen;  delfstofkunde	studie van mineralen
mineurstemming	substantief	2.0	99861	659499	"stemming van een muziekinstrument in de toonsoort mineur, waardoor het een enigszins droevig, somber, ""zeurend"" geluid voortbrengt;  van muziek, zang ook: enigszins droevige, melancholische toonzetting"	(muziek) stemming in mineur
minnen	werkwoord	A.3.0	100009	100012	uit verliefdheid liefkozen, resp. ook: de liefde bedrijven;  gemeenschap hebben	vrijen
minuut	substantief	A.1.0	100073	100074	één zestigste deel van een uur in een tijdsbestek van maximaal een minuut;  in algemenere zin ook: onmiddellijk;  meteen het aantal afnemende minuten tellen in afwachting van zeker moment waarnaar men uitkijkt of waarop iets moet gebeuren;  een naderend tijdstip afwachten door het afnemende aantal minuten te tellen ruim een minuut;  iets meer dan een minuut een klein deel van een minuut;  kleine gedeelten van minuten ruim een minuut;  iets meer dan een minuut een minuut die van groot belang is om iets bijtijds te kunnen volbrengen;  minuten die van groot belang zijn om iets bijtijds te kunnen volbrengen iets minder dan een minuut iets wat slechts de tijdsduur van enkele minuten vraagt een minuut die lang duurt voor het gevoel zoveel minuten als vermeld langer dan de toegestane tijdsduur de beschikking hebben over de genoemde tijdsspanne ongeveer zoveel minuten als genoemd een minuut daarvoor;  in de minuut daarvoor zoveel minuten als vermeld vroeger, respectievelijk later dan het genoemde uur zoveel minuten als vermeld vroeger dan het gewenste of voorgeschreven eindtijdstip zoveel minuten als vermeld vroeger dan het wedstrijdeinde een volledige minuut minuut waarin men niet hoeft te werken zoveel minuten als vermeld te laat slechts een klein aantal minuten;  weinig minuten naarmate telkens weer een minuut verstrijkt;  bij iedere minuut die voorbijgaat de ene minuut telkens na de andere zonder onderbreking of uitzondering;  onafgebroken;  iedere minuut opnieuw volgens het onafgebroken tempo van opeenvolgende minuten ter aanduiding dat eerst nog de genoemde tijd moet verstrijken vooraleer iets ten einde komt of iets kan plaatsvinden: met nog zoveel minuten als vermeld in het verschiet of voor de boeg met tussenpozen van een minuut;  iedere minuut zonder verschil van zelfs ook maar één minuut met de tijdsduur die wordt genoemd of voorgeschreven of die wenselijk of nodig is;  precies met een achterstand van het genoemde aantal minuten ten opzichte van een andere sporter met een zodanige nauwkeurigheid dat iedere minuut correct wordt aangegeven of gemeten;  binnen een tijdsmarge met de nauwkeurigheid van een minuut;  zeer precies de ene minuut telkens na de andere zonder onderbreking of uitzondering;  onafgebroken;  iedere minuut opnieuw in algemeen gebruik zonder bijgedachte aan nauwkeurige tijdmeting: de korte tijdspanne van een zeer kort tijdsverloop;  ogenblik zelfs niet gedurende een zeer kort tijdsverloop;  geen moment;  geen ogenblik;  niet in het minst;  volstrekt niet	één zestigste deel van een uur ogenblik
modereren	werkwoord	4.0	100618	100622	door invloed wijzigen;  specifieker technisch ook: de kwantitatieve waarde of sterkte van een verband tussen twee variabelen beïnvloeden	beïnvloeden
modewoord	substantief	1.0	100675	100676	woord dat in de mode is;  woord dat op enig moment zeer populair is en door vele mensen wordt gebruikt;  met negatieve bijklank ook: woord dat al te vaak, te pas en te onpas gebruikt wordt;  inhoudsloos of modieus woord woordgroep die in de mode is, vooral een term, een vaste combinatie van woorden of een uitdrukking;  met negatieve bijklank ook: woordgroep, uitdrukking die al te vaak, te pas en te onpas gebruikt wordt;  inhoudsloos of modieus begrip	woord dat in de mode is woordgroep die in de mode is
modewoord	substantief	1.1	100675	657607	woordgroep die in de mode is, vooral een term, een vaste combinatie van woorden of een uitdrukking;  met negatieve bijklank ook: woordgroep, uitdrukking die al te vaak, te pas en te onpas gebruikt wordt;  inhoudsloos of modieus begrip	woordgroep die in de mode is
monoliet	adjectief	5.0	101207	101212	uit één groot stuk steen gemaakt;  monolithisch;  van bouwmateriaal of onderdelen daarvan ook: zonder las of voeg op elkaar aansluitend en één geheel vormend	uit één steen gemaakt
mormel	substantief	1.0	101616	101617	dier dat afkeer of spot opwekt door zijn lelijk of mismaakte uiterlijk of door zijn afwijkend, onaangepast, onhandig gedrag;  bespottelijk dier;  daarnaast ook: dier dat door die eigenschappen net vertedering of affectie opwekt dier van een bepaald ras of een bepaalde soort, of dier in het algemeen	bespottelijk dier dier
mousse	substantief	3.0	102077	102080	gerecht waarvan de ingrediënten vooral door malen of opkloppen zijn verwerkt tot een schuimachtige, luchtige, op de tong smeltende substantie;  specifieker ook: nagerecht waarin stijfgeklopte room of eiwit is verwerkt	zeer luchtig gerecht
mrt	substantief	2.0	102189	102191	motorische remedial teaching, ook: (Engels) motoric remedial teaching, vorm van remedial teaching die gericht is op het bestrijden van bewegingsachterstand bij kinderen	motorische remedial teaching
muisje	substantief	1.0	206728	206729	muis;  meer bepaald ook: kleine of jonge muis voorstelling van een muisje in een tekening, een schilderij, een beeldje en dergelijke	(kleine of jonge) muis voorstelling van een muisje
muntmeester	substantief	1.0	102408	102409	iemand die aan het hoofd staat van een bedrijf waar van overheidswege munten geslagen worden;  historisch ook: degene die verantwoordelijk was voor het slaan van munten en voor de kwaliteit van die munten;  hoofd van de muntslag	hoofd van een munt
na-aperij	substantief	1.0	476902	961630	het min of meer exact nadoen, nabootsen, imiteren, navolgen, kopiëren van iemand of iets;  in het meervoud en in de vorm van het verkleinwoord ook: gelegenheid waarbij, keer dat iemand of iets wordt nageaapt;  geval van na-aperij	het na-apen van iemand of iets
naïeveling	substantief	1.0	104257	104258	iemand die zich naïef of buitengewoon naïef gedraagt;  goedgelovig persoon;  in uitgesproken negatieve zin ook: iemand die zonder na te denken alles gelooft;  iemand die alles voor zoete koek aanneemt;  al te goedgelovig persoon	iemand die naïef is
niet-jurist	substantief	1.0	105412	663520	iemand zonder juridische opleiding;  iemand die niet juridisch geschoold is;  leek op juridisch gebied;  in het bijzonder ook: student die een andere academische opleiding volgt dan rechten	iemand die geen jurist is
niet-partijgebonden	adjectief	1.0	406209	515866	niet behorend bij, niet verbonden met een bepaalde politieke partij;  soms algemener ook: niet gebonden aan, verbonden met zekere partij	niet gebonden aan een politieke partij
nok	substantief	1.0	106044	106045	gedeelte waar twee schuine vlakken van een dak samenkomen in een lijn;  hoogste gedeelte van een schuin dak; dakbedekking waar twee schuine dakdelen samenkomen;  vorst zeer vol;  overvol;  tot de nok toe vol;  vaak ook: vol met mensen;  volledig bezet zeer vol;  overvol;  nokvol;  tot de nok toe gevuld;  vaak ook: vol met mensen;  volledig bezet ruimte onder de nok;  bovenste verdieping in een gebouw of grote ruimte met daarboven direct het dak punt waar twee schuine delen van een tent een lijn vormen of hoogste punt in een ronde tent;  tentnok; hooggelegen ruimte direct onder het dak van een ronde tent, zoals in een circustent;  tentnok punt van een raket;  ruimte in het uiteinde van een raket bovenhoek van een doel;  hoogste punt van het doel	hoogste gedeelte van een dak ruimte onder de daknok tentnok punt van een raket hoogste punt in het doel
noodstop	substantief	2.0	106288	648779	"het acuut stoppen met een voertuig om een ander of zichzelf de gelegenheid te geven naar het toilet te gaan;  iemand of zichzelf ""bij hoge nood"" de gelegenheid geven om te poepen of te plassen door de reis met een voertuig te onderbreken;  algemener ook: onderbreking van iets om zo snel mogelijk naar het toilet te gaan;  sanitaire stop"	onderbreking voor toiletbezoek e.d.
nulgeneratie	substantief	1.0	265510	265511	generatie zonder toekomstperspectief op de arbeidsmarkt;  generatie die opgroeit zonder enig perspectief op betaald werk;  vandaar ook: generatie die opgroeit zonder idealen	generatie zonder perspectief
obductie	substantief	1.0	107029	107030	lijkschouwing, autopsie, sectie;  in beperkter gebruik ook: lijkschouwing die, met toestemming van de familie, door een arts wordt aangevraagd om de medische doodsoorzaak vast te stellen en dan te onderscheiden van  sectie , waarvoor toestemming van de familie niet benodigd is en die op last van de officier van justitie geschiedt als het vermoeden bestaat dat er sprake is van een niet-natuurlijke dood	lijkschouwing
oetlul	substantief	1.0	107585	107586	klootzak;  lul;  met de nadruk op onhandigheid in enigszins milder gebruik ook: sufferd;  eikel;  droplul;  kluns;  lulhannes kwalificerende frase met zinsvalentie, vaak in een uitroep, die volgt nadat in de context iemands gebreken of gebrekkige handelingen aan de orde zijn gesteld	stommeling
o.i.	bijwoord	1.0	106969	106970	onzes inziens (ook: ons inziens), naar onze mening	onzes inziens; ons inziens
om harentwil	bijwoord	1.0	471446	567968	ter wille van haar;  ten behoeve van haar;  pregnanter ook: uit liefde voor haar;  soms ook wel op te vatten als: vanwege haar;  wegens haar	voor haar
om zijnentwil	bijwoord	1.0	425291	567961	ter wille van hem;  ten behoeve van hem;  pregnanter ook: uit liefde voor hem	voor hem
OMT	substantief	5.0	945483	945865	orthopedische manuele therapie, behandelmethode waarbij manuele (handmatige) technieken worden toegepast om stoornissen in de ledematen en wervelkolom van patiënten te corrigeren;  metonymisch ook: opleiding orthopedische manuele therapie of vakgebied van de orthopedische manuele therapie	orthopedische manuele therapie
onbewoonbaarheidsverklaring	substantief	1.0	417290	647358	verklaring door het bevoegd gezag, doorgaans het gemeentebestuur, dat een huis niet meer bewoond mag worden, omdat het in een slechte staat verkeert en/of niet veilig meer is;  soms concreet ook: schrifteliijke verklaring waaruit blijkt dat een huis officieel onbewoonbaar verklaard is	verklaring van onbewoonbaarheid
onbewoonbaarverklaring	substantief	1.0	108927	647343	verklaring door het bevoegd gezag, doorgaans het gemeentebestuur, dat een huis niet meer bewoond mag worden, omdat het in een slechte staat verkeert en/of niet veilig meer is;  soms concreet ook: schriftelijke verklaring waaruit blijkt dat een huis officieel onbewoonbaar verklaard is	verklaring van onbewoonbaarheid
onderwijs	substantief	1.0	109633	935556	het gestructureerd aanleren van kennis, vaardigheden en attitudes aan leerplichtigen of studerenden door daarvoor opgeleide personen, veelal binnen een door de overheid erkend opleidingsverband;  concreet ook: geheel van lessen en oefeningen waardoor leerplichtigen of studerenden hun kennis, vaardigheden en attitudes ontwikkelen	schoolonderricht
ongemanierd	adjectief	2.0	110307	233509	ervan blijk gevend dat men niet over goede manieren beschikt;  niet getuigend van goede manieren;  niet beleefd;  niet wellevend;  als bijwoord ook: zodanig dat het in strijd is met de goede manieren	geen blijk gevend van goede manieren
ontkalken	werkwoord	2.0	411871	517731	van kalk ontdaan worden als gevolg van een natuurlijk proces;  vervolgens in onovergankelijk gebruik, gezegd van bijvoorbeeld bot, beenderen, ook: kalk verliezen;  minder kalk bevatten	van kalk ontdaan worden
ontslapen	werkwoord	1.0	111511	111512	"ophouden te leven;  ""inslapen"";  in Bijbelse zin ook: als gelovige sterven en in afwachting van de opstanding zijn als gelovige gestorven zijn als gelovige gestorven zijn in de orthodoxe kerk en de oudkatholieke kerk de benaming voor de katholieke feestdag die in het Westen bekendstaat als Maria-Hemelvaart, Maria-Tenhemelopneming of Onze-Lieve-Vrouw-Hemelvaart;  15 augustus benaming voor een Russisch-orthoxode kathedraal, gewijd aan Maria-Hemelvaart; replica daarvan"	sterven
ontslapene	substantief	1.0	426962	889339	dode;  gestorvene;  overledene;  in Bijbelse zin ook: iemand die gestorven is en in afwachting van de opstanding is	iemand die gestorven is
ontstressen	werkwoord	1.0	255124	255125	zorgen dat je geen of minder stress hebt;   relaxen;   algemener ook: bewust rustiger aan doen;   onthaasten	zich ontdoen van stress; zich ontspannen
op de winkel passen	verbinding	1.0	919390	919391	specifieker en negatiever ook: erop toezien dat het noodzakelijkste en niets meer dan dat wordt uitgevoerd	erop toezien dat gedaan wordt wat nodig is
opperhoofd	substantief	1.0	114153	114154	iemand die aan het hoofd staat van een stam;  in het bijzonder ook: iemand die aan het hoofd staat van een indianenstam	stamhoofd
opruiming	substantief	1.0	114399	531107	het verwijderen en veilig afvoeren van ongewenste elementen van een bepaalde locatie, zoals explosieven, besmet vee in een agrarisch bedrijf, oude graven of vervuilende olie;   opruimactie;   handeling waarbij iets schoongemaakt wordt of weggeruimd wordt;   dan ook: ruiming het uitzoeken, weggooien en opbergen van spullen in een woning, een kamer of eventueel andere ruimte natuurlijke vernietiging;   afbraak vernietiging;   wegvaging het wegwerken van bepaalde personen;   het selecteren van personen, waarbij de ene groep mag blijven of een bepaalde functie mag houden maar de andere groep niet	het opruimen; ruiming in toepassing op een huis of kamer afbraak in de natuur vernietiging; wegvaging het wegwerken van personen
opruiming	substantief	2.0	114399	114400	het tegen korting verkopen van goederen, bijvoorbeeld omdat deze weg moeten zoals aan het einde van een seizoen of na de feestdagen; periode waarin deze kortingen plaatsvinden;   sale;   soms ook: leegverkoop	uitverkoop; solden
opslagmogelijkheid	substantief	1.0	114465	216357	mogelijkheid tot opslag van goederen, materialen, producten, bezittingen e.d.;  mogelijkheid om iets (tijdelijk) op te slaan;  recentelijk ook: mogelijkheid tot opslag van kooldioxide (CO 2 ) (op locaties waar voorheen olie of gas gewonnen werd) ruimte die dient voor de opslag van goederen, materialen, producten, bezittingen, CO 2  e.d.;  opslagruimte	mogelijkheid voor de opslag van goederen e.d. ruimte die dient voor de opslag van iets
ov	substantief	1.0	115933	115934	openbaar vervoer, personenvervoer met een vervoermiddel of geheel van vervoermiddelen dat op vaste routes en volgens een dienstregeling aan iedereen de mogelijkheid biedt om op te stappen of in te stappen;  metonymisch ook: vervoermiddel of geheel van vervoermiddelen dat op vaste routes en volgens een dienstregeling ter beschikking staat van iedereen	openbaar vervoer
paasdag	substantief	2.0	117433	541539	elk van beide dagen van het paasfeest, paaszondag of paasmaandag, of ruimer ook: dag uit de periode rond Pasen	dag uit de periode rond Pasen
pad	substantief	A.1.0	117530	117533	smalle weg, die op natuurlijke wijze is ontstaan door de voetstappen of loopsporen van mensen of dieren die daar eerder met enige regelmaat zijn langsgekomen handelwijze die nieuwe mogelijkheden, kansen of perspectieven biedt handelwijze die nog niet is beproefd of uitgetest en daardoor ook de mogelijkheid biedt tot vernieuwing maar ook risico's kan inhouden een traject vol hindernissen en problemen;  iets wat wordt gekenmerkt door vele obstakels die men moet overwinnen de of een handelwijze die door en door bekend is of al te vaak gebruikt en daardoor niets vernieuwends meer biedt handelwijze die leidt tot of resulteert in wat in de  naar -bepaling wordt omschreven handelwijze waarmee men goed bekend is en waarvoor men meestal kiest samenstel van handelingen, stappen, stadia, of een handelwijze waarvoor men heeft gekozen handelwijze waardoor men het gewenste doel bereikt handelwijze waardoor men het gewenste doel mist een bepaalde handelwijze (beginnen te) volgen;  (beginnen te) handelen op de genoemde wijze door voorbereidingen en het wegnemen van belemmeringen iemands komst of activiteiten of de realisatie van iets vergemakkelijken afwijken van, zich niet langer conformeren aan een bekende, beproefde of vertrouwde handelwijze een bepaalde handelwijze beginnen te volgen;  beginnen te handelen op de genoemde wijze samenstel van handelingen, stappen, stadia, of handelwijze, voorgesteld als een pad of traject dat iemand of iets volgt;  stapsgewijze opeenvolging wijze waarop men leeft in zedelijk of moreel opzicht;  wijze van gedrag;  levenswijze;  levenswandel levenswijze die gepaard gaat met het plegen van misdrijven;  criminele levenswandel moreel goede, deugdzame levenswijze;  specifieker ook: levenswijze waarbij men zich houdt aan wat legitiem is en geen strafbare daden stelt moreel slechte levenswijze;  specifieker ook: levenswijze waarbij men strafbare daden stelt een levenswijze op de morele grondslag genoemd in de genitiefbepaling of de  van -bepaling	smalle weg, door gebruik ontstaan stapsgewijze opeenvolging levenswijze
pad	substantief	A.2.0	117530	378401	smalle, kunstmatig aangelegde, veelal verharde weg waarover men zich te voet of per fiets verplaatst voetpad of kleine straat waaraan huizen gelegen zijn;  in het bijzonder ook: voetpad dat achter een rij huizen loopt	smalle, aangelegde weg voetpad
pad	substantief	A.3.0	117530	380825	route die iemand of iets volgt om ergens te komen;  traject waarlangs men zeker punt of een bepaalde plaats kan bereiken iemand of iets tegenkomen of aantreffen terwijl men ergens heen gaat;  in toepassingen waarin geen sprake is van een fysieke verplaatsing vervolgens ook: iemand of iets bij zekere gelegenheid aantreffen of ermee geconfronteerd worden zich voordoen bij de genoemde persoon of deze aantreffen deel uitmaken van de ontwikkeling die wordt genoemd in het verband een bepaalde route of zeker traject beginnen te volgen;  een bepaalde tocht aanvatten;  vertrekken iemand ergens heen doen gaan voor zekere taak of verrichting bezig zijn met het volgen van zekere route;  onderweg zijn niet beschouwd worden als iemands zaak of aangelegenheid samenstel van handelingen, stappen, stadia, voorgesteld als een route die via opeenvolgende bestemmingen naar de eindbestemming voert	route
pad	substantief	A.1.2	117530	380749	wijze waarop men leeft in zedelijk of moreel opzicht;  wijze van gedrag;  levenswandel levenswijze die gepaard gaat met het plegen van misdrijven;  criminele levenswandel moreel goede, deugdzame levenswijze;  specifieker ook: levenswijze waarbij men zich houdt aan wat legitiem is en geen strafbare daden stelt moreel slechte levenswijze;  specifieker ook: levenswijze waarbij men strafbare daden stelt een levenswijze op de morele grondslag genoemd in de genitiefbepaling of de  van -bepaling	levenswijze
pad	substantief	A.2.1	117530	378514	voetpad of kleine straat waaraan huizen gelegen zijn;  in het bijzonder ook: voetpad dat achter een rij huizen loopt	voetpad
pakhuis	substantief	2.0	117632	588402	informatiesysteem dat ontworpen is voor de opslag van een zeer grote hoeveelheid digitale gegevens;  vervolgens ook: hardware met een dergelijke functie	systeem voor digitale opslag
palen	werkwoord	2.0	117727	117729	bezien vanuit het mannelijk standpunt: geslachtsgemeenschap hebben (met iemand), neuken;  in overgankelijk gebruik ook: een vrouw (of man), een vrouwelijk geslachtsdeel (of anus) met de penis in erectie ( paal ) penetreren tijdens de geslachtsgemeenschap	neuken
parel	substantief	1.0	118460	118461	bolletje van parelmoer dat in een oester of ander schelpdier ontstaan is door een binnengedrongen vuiltje zoals een zandkorreltje en dat bij mensen zeer geliefd is als sieraad een grillig gevormde, niet perfect ronde parel crèmekleur of andere lichte kleur met een iriserende glans;  parelkleur;  soms ook: elke kleur met een iriserende glans;  parelmoerkleur	parelmoeren bolletje parelkleur
parel	substantief	1.1	118460	570758	crèmekleur of andere lichte kleur met een iriserende glans;  soms ook: elke kleur met een iriserende glans;  parelmoerkleur	parelkleur
partijgebonden	adjectief	1.0	118862	118863	behorend bij, verbonden met een bepaalde politieke partij;  soms algemener ook: gebonden aan, verbonden met zekere partij	gebonden aan een politieke partij
patiënt	substantief	1.0	119497	119498	iemand die aan een ziekte lijdt, een aandoening heeft of gewond is, en daarvoor medische en/of verpleegkundige of paramedische zorg nodig heeft;  iemand die een lichamelijke en/of geestelijke ziekte of aandoening heeft;  in het bijzonder ook: iemand die aan een ziekte lijdt, beschouwd in zijn relatie tot de behandelende arts, therapeut of verpleegkundige, of in relatie tot iemand die hem verzorgt, zoals een mantelzorger of een verzorgende in een verpleeghuis vaste formule waarmee een patiënt die in de wachtkamer zit, opgeroepen wordt om naar de (huis)arts te komen	iemand met een ziekte of aandoening
patiënte	substantief	1.0	119499	119500	vrouw die of meisje dat aan een ziekte lijdt, een aandoening heeft of gewond is, en daarvoor medische en/of verpleegkundige of paramedische zorg nodig heeft;  vrouw die of meisje dat een lichamelijke en/of geestelijke ziekte of aandoening heeft;  in het bijzonder ook: vrouw die of meisje dat aan een ziekte lijdt, beschouwd in relatie tot de behandelende arts, therapeut of verpleegkundige, of in relatie tot iemand die haar verzorgt, zoals een mantelzorger of een verzorgende in een verpleeghuis	vrouwelijke patiënt
Pers	substantief	A.1.0	120480	120484	iemand die behoort tot het volk dat hoofdzakelijk in het centrale gebied van het oude Perzische rijk woonde ten noorden van de Perzische Golf;  ruimer ook: inwoner van het oude Perzische rijk een dwingende wet waaraan niet valt te tornen	iemand uit het Perzische rijk
Perzische	substantief	1.0	544492	544510	vrouw die behoort tot het volk dat hoofdzakelijk in het centrale gebied van het oude Perzische rijk woonde ten noorden van de Perzische Golf;  ruimer ook: inwoonster van het oude Perzische rijk	vrouw uit het Perzische rijk
peukje	substantief	3.0	567283	567307	algemener ook: kleine hoeveelheid van iets;  eindje;  stukje;  stompje	klein of kort stukje van iets
peul	substantief	A.1.0	121056	121058	schil van een peulvrucht, bijvoorbeeld een erwt of boon, die bestaat uit een enkel vruchtblad dat bij rijpheid langs twee naden opengaat;  in botanische zin ook: de hele doosvrucht (schil en zaden) van een vlinderbloemige plant peulvormige doosvrucht of de schil van de doosvrucht van een plant die niet tot de vlinderbloemigen behoort, bijvoorbeeld de vrucht van de vanilleplant of de vrucht van de kardemom	schil van een peulvrucht peulvormige doosvrucht
piekhaar	substantief	2.0	121337	948571	haar die deel uitmaakt van een haardos met uitstekende punten;  haar die samen met talloze andere haren een piekerige haardos vormt;  soms ook: enkele haar die uitsteekt, zoals in een baard	haar van haar dat alle kanten op staat
pingpongen	werkwoord	2.0	121693	121695	in zijn werk gaan, handelen alsof er pingpong wordt gespeeld;  overgankelijk ook: snel heen en weer doen gaan alsof er pingpong wordt gespeeld	snel over en weer gaan
pinksterdag	substantief	2.0	121720	541606	elk van beide dagen van het pinksterfeest, pinksterzondag of pinkstermaandag op de vijftigste en eenenvijftigste dag na Pasen, of ruimer ook: dag uit de periode rond Pinksteren eerste dag van het pinksterfeest, die altijd op een zondag valt;  pinksterzondag tweede dag van het pinksterfeest, die altijd op een maandag valt;  pinkstermaandag	dag uit de pinksterperiode
pisglas	substantief	1.0	397801	504851	van glas vervaardigde fles waarin iemand die bedlegerig is zijn urine kan lozen;  glas, fles, kolf voor het opvangen van urine, vooral gebruikt voor bedlegerige patiënten;  in historiserend verband ook: kolf waarin urine wordt bewaard om die te onderzoeken	urinaal
plaat	substantief	3.0	122036	645500	rond voorwerp van vinyl waarop geluid (muziek of gesproken tekst) staat;  grammofoonplaat;  langspeelplaat;  bij uitbreiding ook: cd een plaat zo vaak afspelen dat deze door kleine beschadigingen bij het gebruik aan kwaliteit verliest; heel vaak naar een plaat luisteren;  een plaat heel vaak draaien hou op met steeds hetzelfde zinloze verhaal te vertellen opname op een plaat of op een andere geluidsdrager zoals een cd;  muzikale inhoud van een muziekdrager, zoals een elpee of cd;  muziek op een plaat of cd;  album of nummer muziek afspelen beste plaat in dat jaar, die maand of die week vergulde replica van een album of single die als onderscheiding aan een artiest gegeven wordt wanneer er een groot aantal exemplaren van verkocht is vergulde replica van een album of single die als onderscheiding aan een artiest gegeven wordt wanneer er een zeer groot aantal exemplaren van verkocht is	grammofoonplaat (muziek)opname
